epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,6241.41,0.61988,0.32945,0.00634,0.78777,0.83259,0.87035,0.70769,0.79643,0.64658,0.01141,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6346.29,0.61529,0.32916,0.0062,0.82162,0.82133,0.86033,0.70004,0.79633,0.69695,0.01144,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6451.48,0.60709,0.3208,0.00617,0.78981,0.83856,0.86953,0.70698,0.80221,0.6529,0.01149,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6555.65,0.60765,0.32063,0.00618,0.7883,0.84134,0.86758,0.70496,0.79742,0.66695,0.01139,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6660.37,0.59646,0.31683,0.00607,0.79745,0.84363,0.87501,0.71,0.79752,0.63653,0.01146,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6765.13,0.59952,0.31687,0.006,0.79525,0.82878,0.8687,0.70748,0.79563,0.66532,0.01142,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6869.57,0.58588,0.30458,0.00594,0.81728,0.81824,0.87543,0.7126,0.79582,0.65713,0.01142,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6974.04,0.59175,0.31107,0.00603,0.80711,0.81799,0.86654,0.70605,0.79602,0.67956,0.01141,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7078.35,0.59217,0.31196,0.00585,0.78131,0.85131,0.86842,0.70931,0.79651,0.67489,0.01141,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7183.05,0.5782,0.29796,0.00584,0.81715,0.8176,0.86385,0.70404,0.79616,0.68068,0.01136,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7287.54,0.57051,0.29531,0.0058,0.81635,0.80551,0.85689,0.69831,0.79951,0.72385,0.01141,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
